cntry,cname,cedition,cproddat,cseqno,name,essround,edition,idno,dweight,pspwght,pweight,happy,sclmeet,inmdisc,inprdsc,sclact,crmvct,aesfdrk,brghmwr,brghmef,crvctwr,crvctef,trrenyr,trrcnyr,trrprsn,trrtort,health,hlthhmp,rlgblg,rlgdnm,rlgblge,rlgdnme,rlgdgr,rlgatnd,pray,dscrgrp,dscrrce,dscrntn,dscrrlg,dscrlng,dscretn,dscrage,dscrgnd,dscrsex,dscrdsb,dscroth,dscrdk,dscrref,dscrnap,dscrna,ctzcntr,ctzship,ctzshipa,ctzshipb,ctzshipc,brncntr,cntbrth,cntbrtha,cntbrthb,cntbrthc,livecntr,livecnta,lnghoma,lnghom1,lnghomb,lnghom2,blgetmg,facntr,facntn,fbrncnt,fbrncnta,fbrncntb,mocntr,mocntn,mbrncnt,mbrncnta,mbrncntb
AT,ESS1-8e01,1.0,12.12.2018,8714,ESS8e02_1,8,2.1,1,0.611677050590515,1.17849552631378,0.370392886,5,6,,3,3,2,2,,,,,,,,,3,3,2,66,2,66,0,7,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,,,,DE,2,,,,DE,,2010,,GER,,000,2,2,,,,DE,2,,,,DE
AT,ESS1-8e01,1.0,12.12.2018,8715,ESS8e02_1,8,2.1,2,1.22335410118103,0.899471521377563,0.370392886,5,4,,2,2,2,1,,,,,,,,,3,3,2,66,2,66,0,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,,,,DE,2,,,,DE,,1994,,GER,,000,2,2,,,,DE,2,,,,DE
AT,ESS1-8e01,1.0,12.12.2018,8716,ESS8e02_1,8,2.1,4,0.389057725667953,0.31575334072113,0.370392886,8,4,,2,3,2,3,,,,,,,,,3,3,1,1,6,66,6,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,GER,,000,2,1,,,,66,1,,,,66
AT,ESS1-8e01,1.0,12.12.2018,8717,ESS8e02_1,8,2.1,6,0.64259397983551,0.472467392683029,0.370392886,8,4,,4,3,2,3,,,,,,,,,2,3,7,66,1,1,7,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,GER,,000,2,1,,,,66,1,,,,66
AT,ESS1-8e01,1.0,12.12.2018,8718,ESS8e02_1,8,2.1,10,3.43240213394165,2.24670553207397,0.370392886,5,6,,4,3,2,2,,,,,,,,,1,3,1,6,6,66,10,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,,,,TR,2,,,,TR,,2006,,TUR,,GER,1,2,,,,TR,2,,,,TR
AT,ESS1-8e01,1.0,12.12.2018,8719,ESS8e02_1,8,2.1,11,1.18057930469513,1.01137900352478,0.370392886,9,6,,2,3,2,2,,,,,,,,,2,3,1,1,6,66,9,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,GER,,000,2,1,,,,66,1,,,,66
AT,ESS1-8e01,1.0,12.12.2018,8720,ESS8e02_1,8,2.1,12,1.27342224121094,1.83802974224091,0.370392886,7,7,,4,5,2,1,,,,,,,,,2,3,2,66,7,66,5,5,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,66,2,,,,04,,1995,,GER,,SRP,1,2,,,,04,2,,,,04
AT,ESS1-8e01,1.0,12.12.2018,8721,ESS8e02_1,8,2.1,13,2.16404986381531,1.20280182361603,0.370392886,9,6,,3,4,2,2,,,,,,,,,2,3,1,1,6,66,6,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,GER,,000,2,1,,,,66,1,,,,66
AT,ESS1-8e01,1.0,12.12.2018,8722,ESS8e02_1,8,2.1,14,0.41311851143837,0.320830971002579,0.370392886,9,4,,2,2,2,1,,,,,,,,,1,3,2,66,2,66,0,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,GER,,000,2,1,,,,66,1,,,,66
AT,ESS1-8e01,1.0,12.12.2018,8723,ESS8e02_1,8,2.1,15,1.78495872020721,0.99757444858551,0.370392886,8,6,,2,3,2,2,,,,,,,,,2,3,1,1,6,66,4,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,GER,,000,2,1,,,,66,1,,,,66
